No,Transaction date,House age,Distance to the river,Distance to the nearest MRT station,Number of convenience stores,Number of neighbour,Latitude,Longitude,House price of unit area
117,2013,30.9,409,6396.283,1,28,24.94375,121.47883,12.2
118,2013,13.6,219,4197.349,0,6,24.93885,121.50383,13
119,2013.5,25.3,264,1583.722,3,18,24.96622,121.51709,30.6
120,2013.5,16.6,298,289.3248,5,6,24.98203,121.54348,59.6
121,2013.167,13.3,415,492.2313,5,5,24.96515,121.53737,31.3
122,2013.5,13.6,246,492.2313,5,30,24.96515,121.53737,48
123,2013.25,31.5,323,414.9476,4,15,24.98199,121.54464,32.5
124,2013.417,0,182,185.4296,0,16,24.9711,121.5317,45.5
125,2012.917,9.9,204,279.1726,7,25,24.97528,121.54541,57.4
126,2013.167,1.1,424,193.5845,6,6,24.96571,121.54089,48.6
127,2013.083,38.6,330,804.6897,4,9,24.97838,121.53477,62.9
128,2013.25,3.8,251,383.8624,5,20,24.98085,121.54391,55
129,2013.083,41.3,311,124.9912,6,30,24.96674,121.54039,60.7
130,2013.417,38.5,386,216.8329,7,29,24.98086,121.54162,41
131,2013.25,29.6,283,535.527,8,27,24.98092,121.53653,37.5
132,2013.5,4,147,2147.376,3,8,24.96299,121.51284,30.7
133,2013.167,26.6,217,482.7581,5,22,24.97433,121.53863,37.5
134,2012.833,18,389,373.3937,8,3,24.9866,121.54082,39.5
135,2012.667,33.4,401,186.9686,6,1,24.96604,121.54211,42.2
136,2012.917,18.9,451,1009.235,0,28,24.96357,121.54951,20.8
137,2012.75,11.4,496,390.5684,5,22,24.97937,121.54245,46.8
138,2013.5,13.6,254,319.0708,6,15,24.96495,121.54277,47.4
139,2013.167,10,256,942.4664,0,25,24.97843,121.52406,43.5
140,2012.667,12.9,234,492.2313,5,1,24.96515,121.53737,42.5
141,2013.25,16.2,171,289.3248,5,2,24.98203,121.54348,51.4
142,2013.333,5.1,255,1559.827,3,2,24.97213,121.51627,28.9
143,2013.417,19.8,487,640.6071,5,27,24.97017,121.54647,37.5
144,2013.5,13.6,109,492.2313,5,21,24.96515,121.53737,40.1
145,2013.083,11.9,194,1360.139,1,3,24.95204,121.54842,28.4
146,2012.917,2.1,478,451.2438,5,8,24.97563,121.54694,45.5
147,2012.75,0,169,185.4296,0,19,24.9711,121.5317,52.2
148,2012.75,3.2,264,489.8821,8,18,24.97017,121.54494,43.2
149,2013.5,16.4,293,3780.59,0,8,24.93293,121.51203,45.1
150,2012.667,34.9,158,179.4538,8,8,24.97349,121.54245,39.7
151,2013.25,35.8,365,170.7311,7,17,24.96719,121.54269,48.5
152,2013.5,4.9,231,387.7721,9,16,24.98118,121.53788,44.7
153,2013.333,12,364,1360.139,1,13,24.95204,121.54842,28.9
154,2013.25,6.5,466,376.1709,6,21,24.95418,121.53713,40.9
155,2013.5,16.9,296,4066.587,0,5,24.94297,121.50342,20.7
156,2013.167,13.8,373,4082.015,0,28,24.94155,121.50381,15.6
157,2013.583,30.7,464,1264.73,0,3,24.94883,121.52954,18.3
158,2013.25,16.1,386,815.9314,4,18,24.97886,121.53464,35.6
159,2013,11.6,114,390.5684,5,1,24.97937,121.54245,39.4
160,2012.667,15.5,352,815.9314,4,19,24.97886,121.53464,37.4
161,2012.917,3.5,228,49.66105,8,19,24.95836,121.53756,57.8
162,2013.417,19.2,211,616.4004,3,16,24.97723,121.53767,39.6
163,2012.75,16,327,4066.587,0,7,24.94297,121.50342,11.6
164,2013.5,8.5,255,104.8101,5,28,24.96674,121.54067,55.5
165,2012.833,0,266,185.4296,0,6,24.9711,121.5317,55.2
166,2012.917,13.7,338,1236.564,1,26,24.97694,121.55391,30.6
167,2013.417,0,116,292.9978,6,22,24.97744,121.54458,73.6
168,2013.417,28.2,220,330.0854,8,24,24.97408,121.54011,43.4
169,2013.083,27.6,427,515.1122,5,14,24.96299,121.5432,37.4
170,2013.417,8.4,361,1962.628,1,25,24.95468,121.55481,23.5
171,2013.333,24,271,4527.687,0,9,24.94741,121.49628,14.4
172,2013.083,3.6,187,383.8624,5,30,24.98085,121.54391,58.8
173,2013.583,6.6,437,90.45606,9,13,24.97433,121.5431,58.1
174,2013.083,41.3,213,401.8807,4,29,24.98326,121.5446,35.1
175,2013.417,4.3,181,432.0385,7,17,24.9805,121.53778,45.2
176,2013.083,30.2,176,472.1745,3,10,24.97005,121.53758,36.5
177,2012.833,13.9,307,4573.779,0,12,24.94867,121.49507,19.2
178,2013.083,33,436,181.0766,9,23,24.97697,121.54262,42
179,2013.5,13.1,122,1144.436,4,26,24.99176,121.53456,36.7
180,2013.083,14,385,438.8513,1,20,24.97493,121.5273,42.6
181,2012.667,26.9,141,4449.27,0,7,24.94898,121.49621,15.5
182,2013.167,11.6,216,201.8939,8,26,24.98489,121.54121,55.9
183,2013.5,13.5,168,2147.376,3,26,24.96299,121.51284,23.6
184,2013.5,17,316,4082.015,0,12,24.94155,121.50381,18.8
185,2012.75,14.1,403,2615.465,0,9,24.95495,121.56174,21.8
186,2012.75,31.4,488,1447.286,3,21,24.97285,121.5173,21.5
187,2013.167,20.9,283,2185.128,3,4,24.96322,121.51237,25.7
188,2013,8.9,136,3078.176,0,16,24.95464,121.56627,22
189,2012.917,34.8,359,190.0392,8,30,24.97707,121.54312,44.3
190,2012.917,16.3,190,4066.587,0,7,24.94297,121.50342,20.5
191,2013.5,35.3,332,616.5735,8,7,24.97945,121.53642,42.3
192,2013.167,13.2,461,750.0704,2,6,24.97371,121.54951,37.8
193,2013.167,43.8,185,57.58945,7,19,24.9675,121.54069,42.7
194,2013.417,9.7,230,421.479,5,20,24.98246,121.54477,49.3
195,2013.5,15.2,102,3771.895,0,16,24.93363,121.51158,29.3
196,2013.333,15.2,205,461.1016,5,5,24.95425,121.5399,34.6
197,2013,22.8,127,707.9067,2,12,24.981,121.54713,36.6
198,2013.25,34.4,396,126.7286,8,12,24.96881,121.54089,48.2
199,2013.083,34,319,157.6052,7,14,24.96628,121.54196,39.1
200,2013.417,18.2,300,451.6419,8,8,24.96945,121.5449,31.6
201,2013.417,17.4,355,995.7554,0,24,24.96305,121.54915,25.5
202,2013.417,13.1,327,561.9845,5,25,24.98746,121.54391,45.9
203,2012.917,38.3,155,642.6985,3,23,24.97559,121.53713,31.5
204,2012.667,15.6,299,289.3248,5,30,24.98203,121.54348,46.1
205,2013,18,383,1414.837,1,1,24.95182,121.54887,26.6
206,2013.083,12.8,222,1449.722,3,22,24.97289,121.51728,21.4
207,2013.25,22.2,419,379.5575,10,12,24.98343,121.53762,44
208,2013.083,38.5,451,665.0636,3,10,24.97503,121.53692,34.2
209,2012.75,11.5,137,1360.139,1,3,24.95204,121.54842,26.2
210,2012.833,34.8,438,175.6294,8,3,24.97347,121.54271,40.9
211,2013.5,5.2,360,390.5684,5,12,24.97937,121.54245,52.2
212,2013.083,0,131,274.0144,1,26,24.9748,121.53059,43.5
213,2013.333,17.6,457,1805.665,2,30,24.98672,121.52091,31.1
214,2013.083,6.2,103,90.45606,9,9,24.97433,121.5431,58
215,2013.583,18.1,310,1783.18,3,22,24.96731,121.51486,20.9
216,2013.333,19.2,463,383.7129,8,25,24.972,121.54477,48.1
217,2013.25,37.8,138,590.9292,1,3,24.97153,121.53559,39.7
218,2012.917,28,476,372.6242,6,10,24.97838,121.54119,40.8
219,2013.417,13.6,226,492.2313,5,9,24.96515,121.53737,43.8
220,2012.75,29.3,180,529.7771,8,25,24.98102,121.53655,40.2
221,2013.333,37.2,479,186.5101,9,19,24.97703,121.54265,78.3
222,2013.333,9,146,1402.016,0,23,24.98569,121.5276,38.5
223,2013.583,30.6,189,431.1114,10,2,24.98123,121.53743,48.5
224,2013.25,9.1,479,1402.016,0,27,24.98569,121.5276,42.3
225,2013.333,34.5,499,324.9419,6,21,24.97814,121.5417,46
226,2013.25,1.1,114,193.5845,6,13,24.96571,121.54089,49
227,2013,16.5,422,4082.015,0,2,24.94155,121.50381,12.8
228,2012.917,32.4,405,265.0609,8,14,24.98059,121.53986,40.2
229,2013.417,11.9,401,3171.329,0,29,25.00115,121.51776,46.6
230,2013.583,31,172,1156.412,0,15,24.9489,121.53095,19
231,2013.5,4,137,2147.376,3,1,24.96299,121.51284,33.4
232,2012.833,16.2,493,4074.736,0,21,24.94235,121.50357,14.7
233,2012.917,27.1,281,4412.765,1,1,24.95032,121.49587,17.4
234,2013.333,39.7,319,333.3679,9,9,24.98016,121.53932,32.4
235,2013.25,8,496,2216.612,4,24,24.96007,121.51361,23.9
236,2012.75,12.9,425,250.631,7,3,24.96606,121.54297,39.3
237,2013.167,3.6,300,373.8389,10,22,24.98322,121.53765,61.9
238,2013.167,13,361,732.8528,0,17,24.97668,121.52518,39
239,2013.083,12.8,462,732.8528,0,2,24.97668,121.52518,40.6
240,2013.5,18.1,242,837.7233,0,4,24.96334,121.54767,29.7
241,2013.083,11,476,1712.632,2,17,24.96412,121.5167,28.8
242,2013.5,13.7,429,250.631,7,19,24.96606,121.54297,41.4
243,2012.833,2,487,2077.39,3,21,24.96357,121.51329,33.4
244,2013.417,32.8,144,204.1705,8,9,24.98236,121.53923,48.2
245,2013.083,4.8,363,1559.827,3,7,24.97213,121.51627,21.7
246,2013.417,7.5,298,639.6198,5,6,24.97258,121.54814,40.8
247,2013.417,16.4,212,389.8219,6,15,24.96412,121.54273,40.6
248,2013.333,21.7,289,1055.067,0,16,24.96211,121.54928,23.1
249,2013,19,457,1009.235,0,11,24.96357,121.54951,22.3
250,2012.833,18,198,6306.153,1,8,24.95743,121.47516,15
251,2013.167,39.2,498,424.7132,7,17,24.97429,121.53917,30
252,2012.917,31.7,202,1159.454,0,11,24.9496,121.53018,13.8
253,2012.833,5.9,269,90.45606,9,11,24.97433,121.5431,52.7
254,2012.667,30.4,244,1735.595,2,27,24.96464,121.51623,25.9
255,2012.667,1.1,116,329.9747,5,26,24.98254,121.54395,51.8
256,2013.417,31.5,128,5512.038,1,14,24.95095,121.48458,17.4
257,2012.667,14.6,190,339.2289,1,23,24.97519,121.53151,26.5
258,2013.25,17.3,185,444.1334,1,4,24.97501,121.5273,43.9
259,2013.417,0,315,292.9978,6,28,24.97744,121.54458,63.3
260,2013.083,17.7,355,837.7233,0,7,24.96334,121.54767,28.8
261,2013.25,17,109,1485.097,4,25,24.97073,121.517,30.7
262,2013.167,16.2,219,2288.011,3,27,24.95885,121.51359,24.4
263,2012.917,15.9,293,289.3248,5,19,24.98203,121.54348,53
264,2013.417,3.9,118,2147.376,3,6,24.96299,121.51284,31.7
265,2013.167,32.6,130,493.657,7,2,24.96968,121.54522,40.6
266,2012.833,15.7,191,815.9314,4,8,24.97886,121.53464,38.1
267,2013.25,17.8,482,1783.18,3,2,24.96731,121.51486,23.7
268,2012.833,34.7,362,482.7581,5,3,24.97433,121.53863,41.1
269,2013.417,17.2,434,390.5684,5,11,24.97937,121.54245,40.1
270,2013,17.6,346,837.7233,0,14,24.96334,121.54767,23
271,2013.333,10.8,387,252.5822,1,16,24.9746,121.53046,117.5
272,2012.917,17.7,480,451.6419,8,22,24.96945,121.5449,26.5
273,2012.75,13,178,492.2313,5,16,24.96515,121.53737,40.5
274,2013.417,13.2,356,170.1289,1,5,24.97371,121.52984,29.3
275,2013.167,27.5,140,394.0173,7,8,24.97305,121.53994,41
276,2012.667,1.5,375,23.38284,7,8,24.96772,121.54102,49.7
277,2013,19.1,205,461.1016,5,27,24.95425,121.5399,34
278,2013.417,21.2,470,2185.128,3,19,24.96322,121.51237,27.7
279,2012.75,0,421,208.3905,6,20,24.95618,121.53844,44
280,2013.417,2.6,299,1554.25,3,1,24.97026,121.51642,31.1
281,2013.25,2.3,140,184.3302,6,12,24.96581,121.54086,45.4
282,2013.333,4.7,104,387.7721,9,8,24.98118,121.53788,44.8
283,2012.917,2,251,1455.798,1,29,24.9512,121.549,25.6
284,2013.417,33.5,129,1978.671,2,5,24.98674,121.51844,23.5
285,2012.917,15,128,383.2805,7,18,24.96735,121.54464,34.4
286,2013.167,30.1,102,718.2937,3,20,24.97509,121.53644,55.3
287,2012.917,5.9,369,90.45606,9,1,24.97433,121.5431,56.3
288,2013,19.2,233,461.1016,5,15,24.95425,121.5399,32.9
289,2013.583,16.6,176,323.6912,6,13,24.97841,121.5428,51
290,2013.333,13.9,226,289.3248,5,16,24.98203,121.54348,44.5
291,2013.083,37.7,318,490.3446,0,11,24.97217,121.53471,37
292,2012.833,3.4,259,56.47425,7,8,24.95744,121.53711,54.4
293,2013.083,17.5,264,395.6747,5,26,24.95674,121.534,24.5
294,2012.667,12.6,130,383.2805,7,16,24.96735,121.54464,42.5
295,2013.5,26.4,374,335.5273,6,10,24.9796,121.5414,38.1
296,2013.167,18.2,346,2179.59,3,6,24.96299,121.51252,21.8
297,2012.75,12.5,288,1144.436,4,25,24.99176,121.53456,34.1
298,2012.833,34.9,226,567.0349,4,22,24.97003,121.5458,28.5
299,2013.333,16.7,281,4082.015,0,28,24.94155,121.50381,16.7
300,2013.167,33.2,325,121.7262,10,25,24.98178,121.54059,46.1
301,2013.083,2.5,100,156.2442,4,17,24.96696,121.53992,36.9
302,2012.75,38,290,461.7848,0,16,24.97229,121.53445,35.7
303,2013.5,16.5,200,2288.011,3,18,24.95885,121.51359,23.2
304,2013.5,38.3,219,439.7105,0,15,24.97161,121.53423,38.4
305,2013.417,20,142,1626.083,3,30,24.96622,121.51668,29.4
306,2013.083,16.2,225,289.3248,5,1,24.98203,121.54348,55
307,2013.5,14.4,429,169.9803,1,22,24.97369,121.52979,50.2
308,2012.833,10.3,273,3079.89,0,19,24.9546,121.56627,24.7
309,2013.417,16.4,471,289.3248,5,11,24.98203,121.54348,53
310,2013.25,30.3,106,1264.73,0,22,24.94883,121.52954,19.1
311,2013.583,16.4,251,1643.499,2,8,24.95394,121.55174,24.7
312,2013.167,21.3,143,537.7971,4,14,24.97425,121.53814,42.2
313,2013.583,35.4,367,318.5292,9,11,24.97071,121.54069,78
314,2013.333,8.3,267,104.8101,5,9,24.96674,121.54067,42.8
315,2013.25,3.7,206,577.9615,6,5,24.97201,121.54722,41.6
316,2013.083,15.6,336,1756.411,2,27,24.9832,121.51812,27.3
317,2013.25,13.3,481,250.631,7,13,24.96606,121.54297,42
318,2012.75,15.6,335,752.7669,2,11,24.97795,121.53451,37.5
319,2013.333,7.1,180,379.5575,10,23,24.98343,121.53762,49.8
320,2013.25,34.6,132,272.6783,5,18,24.95562,121.53872,26.9
321,2012.75,13.5,350,4197.349,0,26,24.93885,121.50383,18.6
322,2012.917,16.9,495,964.7496,4,21,24.98872,121.53411,37.7
323,2013,12.9,424,187.4823,1,21,24.97388,121.52981,33.1
324,2013.417,28.6,372,197.1338,6,8,24.97631,121.54436,42.5
325,2012.667,12.4,245,1712.632,2,17,24.96412,121.5167,31.3
326,2013.083,36.6,397,488.8193,8,5,24.97015,121.54494,38.1
327,2013.5,4.1,401,56.47425,7,9,24.95744,121.53711,62.1
328,2013.417,3.5,429,757.3377,3,5,24.97538,121.54971,36.7
329,2012.833,15.9,410,1497.713,3,23,24.97003,121.51696,23.6
330,2013,13.6,190,4197.349,0,14,24.93885,121.50383,19.2
331,2013.083,32,383,1156.777,0,25,24.94935,121.53046,12.8
332,2013.333,25.6,317,4519.69,0,8,24.94826,121.49587,15.6
333,2013.167,39.8,488,617.7134,2,21,24.97577,121.53475,39.6
334,2012.75,7.8,194,104.8101,5,1,24.96674,121.54067,38.4
335,2012.917,30,163,1013.341,5,7,24.99006,121.5346,22.8
336,2013.583,27.3,487,337.6016,6,5,24.96431,121.54063,36.5
337,2012.833,5.1,136,1867.233,2,28,24.98407,121.51748,35.6
338,2012.833,31.3,424,600.8604,5,18,24.96871,121.54651,30.9
339,2012.917,31.5,459,258.186,9,8,24.96867,121.54331,36.3
340,2013.333,1.7,365,329.9747,5,10,24.98254,121.54395,50.4
341,2013.333,33.6,284,270.8895,0,27,24.97281,121.53265,42.9
342,2013,13,444,750.0704,2,14,24.97371,121.54951,37
343,2012.667,5.7,305,90.45606,9,29,24.97433,121.5431,53.5
344,2013,33.5,386,563.2854,8,12,24.98223,121.53597,46.6
345,2013.5,34.6,249,3085.17,0,13,24.998,121.5155,41.2
346,2012.667,0,208,185.4296,0,27,24.9711,121.5317,37.9
347,2013.417,13.2,215,1712.632,2,1,24.96412,121.5167,30.8
348,2013.583,17.4,308,6488.021,1,10,24.95719,121.47353,11.2
349,2012.833,4.6,211,259.6607,6,20,24.97585,121.54516,53.7
350,2012.75,7.8,485,104.8101,5,9,24.96674,121.54067,47
351,2013,13.2,261,492.2313,5,23,24.96515,121.53737,42.3
352,2012.833,4,100,2180.245,3,30,24.96324,121.51241,28.6
353,2012.833,18.4,358,2674.961,3,26,24.96143,121.50827,25.7
354,2013.5,4.1,346,2147.376,3,20,24.96299,121.51284,31.3
355,2013.417,12.2,322,1360.139,1,10,24.95204,121.54842,30.1
356,2013.25,3.8,289,383.8624,5,28,24.98085,121.54391,60.7
357,2012.833,10.3,467,211.4473,1,18,24.97417,121.52999,45.3
358,2013.417,0,141,338.9679,9,4,24.96853,121.54413,44.9
359,2013.167,1.1,289,193.5845,6,22,24.96571,121.54089,45.1
360,2013.5,5.6,456,2408.993,0,8,24.95505,121.55964,24.7
361,2012.667,32.9,153,87.30222,10,17,24.983,121.54022,47.1
362,2013.083,41.4,363,281.205,8,12,24.97345,121.54093,63.3
363,2013.417,17.1,355,967.4,4,24,24.98872,121.53408,40
364,2013.5,32.3,340,109.9455,10,10,24.98182,121.54086,48
365,2013.417,35.3,313,614.1394,7,13,24.97913,121.53666,33.1
366,2012.917,17.3,433,2261.432,4,21,24.96182,121.51222,29.5
367,2012.75,14.2,216,1801.544,1,27,24.95153,121.55254,24.8
368,2012.833,15,238,1828.319,2,4,24.96464,121.51531,20.9
369,2013.417,18.2,396,350.8515,1,1,24.97544,121.53119,43.1
370,2012.667,20.2,184,2185.128,3,22,24.96322,121.51237,22.8
371,2012.75,15.9,398,289.3248,5,5,24.98203,121.54348,42.1
372,2013.5,4.1,192,312.8963,5,8,24.95591,121.53956,51.7
373,2013,33.9,323,157.6052,7,28,24.96628,121.54196,41.5
374,2013.083,0,103,274.0144,1,9,24.9748,121.53059,52.2
375,2013.25,5.4,154,390.5684,5,19,24.97937,121.54245,49.5
376,2013.25,21.7,394,1157.988,0,18,24.96165,121.55011,23.8
377,2013.417,14.7,404,1717.193,2,23,24.96447,121.51649,30.5
378,2013.333,3.9,315,49.66105,8,1,24.95836,121.53756,56.8
379,2013.333,37.3,283,587.8877,8,23,24.97077,121.54634,37.4
380,2013.333,0,151,292.9978,6,6,24.97744,121.54458,69.7
381,2013.333,14.1,434,289.3248,5,29,24.98203,121.54348,53.3
382,2013.417,8,455,132.5469,9,25,24.98298,121.53981,47.3
383,2013,16.3,352,3529.564,0,11,24.93207,121.51597,29.3
384,2012.667,29.1,230,506.1144,4,27,24.97845,121.53889,40.3
385,2012.75,16.1,391,4066.587,0,1,24.94297,121.50342,12.9
386,2013,18.3,257,82.88643,10,10,24.983,121.54026,46.6
387,2012.833,0,493,185.4296,0,18,24.9711,121.5317,55.3
388,2013.25,16.2,284,2103.555,3,14,24.96042,121.51462,25.6
389,2013.5,10.4,347,2251.938,4,19,24.95957,121.51353,27.3
390,2013.25,40.9,127,122.3619,8,20,24.96756,121.5423,67.7
391,2013.5,32.8,453,377.8302,9,25,24.97151,121.5435,38.6
392,2013.583,6.2,331,1939.749,1,6,24.95155,121.55387,31.3
393,2013.083,42.7,111,443.802,6,9,24.97927,121.53874,35.3
